basic_graph_collector,basic_span_collector,correct_span_collector,correct_edge_collector,algorithm_span_collector,algorithm_edge_collector,algorithm_1_span_collector,algorithm_1_edge_collector
"[(0, 2), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 8), (2, 9), (2, 7), (4, 5), (4, 6), (4, 7), (5, 6), (6, 9), (7, 8), (8, 9)]",1496,8269,"[((0, 3, 1), (6, 9, 1))]",5920,"[(6, 9, 1), (2, 7, 1)]",7369,"{(0, 1), (6, 9)}"
"[(0, 2), (0, 8), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 8), (1, 9), (2, 3), (2, 4), (2, 5), (2, 9), (3, 7), (4, 6), (5, 7), (7, 8)]",1053,6864,"[((0, 8, 1), (0, 6, 1))]",6864,"[(0, 8, 1), (0, 6, 1)]",6372,"{(6, 9), (0, 8)}"
"[(0, 2), (0, 5), (0, 6), (1, 2), (1, 3), (1, 8), (2, 3), (2, 4), (2, 5), (2, 7), (2, 9), (3, 4), (4, 6), (4, 7), (4, 8), (5, 8), (6, 9), (7, 9)]",1505,7904,"[((1, 8, 1), (6, 9, 1))]",7904,"[(6, 9, 1), (1, 8, 1)]",7091,"{(0, 1), (6, 9)}"
"[(0, 2), (0, 3), (0, 4), (0, 8), (0, 9), (1, 2), (1, 8), (1, 4), (2, 3), (2, 5), (2, 6), (2, 7), (2, 9), (3, 4), (3, 5), (3, 6), (6, 7), (7, 8)]",1014,6342,"[((1, 4, 1), (1, 8, 1))]",6342,"[(1, 8, 1), (1, 4, 1)]",5556,"{(1, 8), (5, 7)}"
"[(0, 2), (0, 6), (0, 7), (1, 2), (1, 3), (1, 5), (1, 9), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (4, 9), (5, 8), (6, 8), (7, 8), (8, 9)]",1464,8259,"[((5, 8, 1), (8, 9, 1))]",8259,"[(5, 8, 1), (8, 9, 1)]",8075,"{(8, 9), (5, 7)}"
"[(0, 2), (0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (1, 4), (2, 5), (3, 9), (4, 5), (4, 6), (4, 8), (5, 6), (5, 7), (5, 9), (6, 8), (6, 9), (7, 8)]",1809,10090,"[((3, 9, 1), (7, 8, 1))]",10090,"[(3, 9, 1), (7, 8, 1)]",8422,"{(2, 7), (3, 9)}"
"[(0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 8), (0, 9), (1, 2), (1, 5), (1, 8), (2, 3), (2, 4), (2, 6), (2, 7), (5, 7), (6, 7), (6, 9), (7, 8)]",1228,6288,"[((1, 9, 1), (5, 8, 1))]",5748,"[(1, 8, 1), (5, 7, 1)]",5748,"{(1, 8), (5, 7)}"
"[(0, 2), (0, 3), (0, 6), (1, 2), (1, 8), (1, 7), (2, 3), (2, 4), (2, 5), (3, 4), (3, 5), (3, 7), (3, 8), (4, 6), (4, 7), (4, 9), (5, 9), (6, 8)]",1455,8009,"[((1, 9, 1), (6, 8, 1))]",7772,"[(1, 7, 1), (6, 8, 1)]",6050,"{(0, 1), (1, 6)}"
"[(0, 2), (0, 6), (0, 8), (1, 2), (1, 3), (1, 4), (2, 3), (2, 4), (2, 5), (3, 8), (4, 5), (4, 7), (5, 6), (5, 7), (5, 9), (6, 9), (7, 8), (8, 9)]",1742,9699,"[((3, 9, 1), (3, 8, 1))]",9399,"[(3, 8, 1), (8, 9, 1)]",8304,"{(0, 1), (3, 9)}"
"[(0, 2), (0, 8), (0, 9), (1, 2), (1, 3), (1, 4), (1, 5), (1, 8), (1, 9), (2, 3), (2, 7), (3, 4), (3, 5), (3, 7), (4, 6), (4, 9), (5, 6), (6, 8)]",1385,8017,"[((0, 6, 1), (7, 9, 1))]",7876,"[(6, 8, 1), (0, 9, 1)]",7004,"{(0, 6), (5, 7)}"
